gene_id	gene_name	CONTROL1_REP1	CONTROL1_REP2	TREATMENT1_REP1	TREATMENT1_REP2	TREATMENT2_REP1	TREATMENT2_REP2
AT1G74880	ndhO	823	3348	682	3274	1034	1069
AT1G74890	ARR15	71	171	4	25	82	90
AT1G74900	OTP43	16.999	77.714	3.004	14.073	34.114	31.064
AT1G74910	AT1G74910	869.001	3140.286	778.996	3392.927	1460.886	1500.936
AT1G74920	ALDH10A8	903	4027	2142	8935	1761	1830
AT1G74929	AT1G74929	0	2	1	1	0	0
AT1G74930	ERF018	643	1695	18	66	538	590
AT1G74940	AT1G74940	362	1230	105	511	530	442
AT1G74950	TIFY10B	291	879	266	1125	541	555
AT1G74960	KAS2	1113	4338.001	694	3029	2210.001	2310
AT1G74970	RPS9	1818	7665	3709	16880	2802	2921
AT1G74990	AT1G74990	0	0	0	0	0	0
AT1G75000	AT1G75000	17	117	9	21	36	43
AT1G75010	ARC3	333	1185	200	850	491	507
AT1G75020	LPAT4	124	465	5	42	183	191
AT1G75030	ATLP-3	17	37	10	78	19	18
AT1G75040	PR5	219	2278	512	2281	434	459
AT1G75050	AT1G75050	0	1	4	3	2	2
AT1G75060	AT1G75060	27	48	19	70	44	42
AT1G75080	BZR1	147.168	522	183	752.584	283.099	236.157
AT1G75090	AT1G75090	37	84	4	21.416	30.902	54
AT1G75100	JAC1	384	1545	215	959	622	666
AT1G75110	RRA2	18	40	2	6	32	21
AT1G75120	RRA1	63	146	10	36	80	81
AT1G75130	CYP721A1	120	446	133	574	220	201
AT1G75140	AT1G75140	150	786	41	115	335	313
AT1G75150	AT1G75150	44	153	1	9	96	94
AT1G75160	AT1G75160	0	0	0	0	0	0
AT1G75163	AT1G75163	0	0	0	0	0	0
AT1G75166	AT1G75166	0	0	0	0	0	0
AT1G75170	AT1G75170	81.903	214.945	61	258.864	95	100.952
AT1G75180	AT1G75180	450	1199	209	974	580	551
AT1G75190	AT1G75190	124	435	8	37	147	170
AT1G75200	TYW1	162	599	322	1390	358	353
AT1G75210	AT1G75210	342	1456	178	759	576	635
AT1G75220	AT1G75220	688	2591	723	3114	1048	1140
AT1G75230	AT1G75230	61	280	51	198	153	141
AT1G75240	ZHD5	115	136	195	929	241	262
AT1G75250	RL6	5	45	2	9	20	17
AT1G75260	AT1G75260	5	19	0	4	11	7
AT1G75261	AT1G75261	0	0	0	0	0	0
AT1G75270	DHAR2	195	575	297	1208	245	233
AT1G75280	AT1G75280	543	2590	1241	5339	1013	1105
AT1G75290	AT1G75290	2.451	18.481	4.331	11.203	6.184	13.856
AT1G75295	AT1G75295	77.45	247.522	24.844	98.401	106.455	112.178
AT1G75300	AT1G75300	34.098	91.996	5.824	26.396	37.361	43.966
AT1G75310	AUL1	155	694	108	472	381	410
AT1G75330	OTC	670	2614	2021	8764	1234	1285
AT1G75335	AT1G75335	27	71	38	179	26	25
AT1G75340	CG1	125	533	202	896	203	221
AT1G75350	RPL31	3748	10762	5050	21961	3982	4236
AT1G75360	AT1G75360	15	55	12	37	13	24
AT1G75370	SFH5	992	3334	804	3238	1169	1246
AT1G75380	BBD1	5448.001	20417.999	2618.999	11324.001	7336	7788
AT1G75388	CPuORF5	25	89	269	1089	43	65
AT1G75390	AtbZIP44	0	0	0	0	0	0
AT1G75394	AT1G75394	0	1	0	3	0	0
AT1G75400	AT1G75400	103	469	344	1481	231	246
AT1G75410	BLH3	285	1254	170	648	514	539
AT1G75420	AT1G75420	183	528	43	171	223	242
AT1G75430	BLH11	0	1	0	0	0	0
AT1G75440	UBC16	91.577	382.344	99.366	461.798	117.368	141.847
AT1G75450	CKX5	11.423	36.656	18.634	66.202	22.632	31.153
AT1G75460	AT1G75460	1615	7747	1022	4198	2500	2541
AT1G75470	ATPUP15	0	1	0	1	1	0
AT1G75480	AT1G75480	1	0	0	1	0	0
AT1G75490	DREB2D	4	17	2	5	22	23
AT1G75500	WAT1	718	2806	647	2584	1481	1420
AT1G75510	AT1G75510	193	604	108	499	185	247
AT1G75520	SRS5	6	3	1	19	6	12
AT1G75530	AT1G75530	0	0	0	0	0	0
AT1G75540	BBX21	200	741	132	573	363	329
AT1G75550	AT1G75550	2	27	2	8	6	13
AT1G75560	AT1G75560	295	1013	1104	4569	471	456
AT1G75580	AT1G75580	35	46	7	28	29	39
AT1G75590	AT1G75590	15	15	1	1	17	8
AT1G75600	AT1G75600	0	1	1	4	0	1.324
AT1G75610	AT1G75610	2	0	2	1	0	0
AT1G75620	AT1G75620	3	10	0	4	7	9
AT1G75630	VHA-C4	662	2097	1117	4929	760	780
AT1G75640	AT1G75640	12	26	21	97	53	49
AT1G75660	XRN3	367	1890	581	2443	964	1039
AT1G75670	AT1G75670	90	173	167	742	120	117
AT1G75680	AtGH9B7	851	2896	835	3408	1154	1202
AT1G75690	LQY1	2330	9522	2361	9637	3509	3483
AT1G75700	HVA22G	2	9	2	11	4	9
AT1G75710	AT1G75710	125	425	74	316	219	212
AT1G75717	AT1G75717	0	0	0	0	0	0
AT1G75720	AT1G75720	4	16	1	3	14	6
AT1G75730	AT1G75730	67	388	108	450	187	202
AT1G75750	GASA1	661	2589	17031	87199	1868	2170
AT1G75760	AT1G75760	131	459	176	705	250	253
AT1G75770	AT1G75770	58	103	126	522	33	50
AT1G75780	TUBB1	187	436	139	538	296	289
AT1G75790	sks18	0	0	1	4	0	0
AT1G75800	AT1G75800	618	2975	156	845	1209	1240
AT1G75810	AT1G75810	59	199	187	809	79	75
AT1G75820	CLV1	188	1317	131	609	637	624
AT1G75830	PDF1.1	1	0	0	2	11	16
AT1G75840	ARAC5	414	1018	321	1383	555.002	575.002
AT1G75850	VPS35B	230	843	96	478	370	392
AT1G75860	AT1G75860	198	510	1863	7685	243	259
AT1G75870	AT1G75870	0	0	0	0	0	0
AT1G75880	EXL1	37	159	7	20	61	58
AT1G75890	EXL2	5	9	2	12	5	2
AT1G75891	AT1G75891	0	2	0	4	2	0
AT1G75900	EXL3	232	927	17	95	291	346
AT1G75910	EXL4	0	0	0	0	0	0
AT1G75920	AT1G75920	1	4	0	0	2	3
AT1G75930	EXL6	0	0	0	0	0	0
AT1G75940	BGLU20	0	0	4	16	0	0
AT1G75950	SKP1A	1195	4894	2950	12157	1998	2123
AT1G75960	AAE8	136	676	18	103	277	307
AT1G75970	AT1G75970	0	0	0	0	0	0
AT1G75980	AT1G75980	114	243	284	1222	106	108
AT1G75990	RPN3B	155	613	27	136	302	296
AT1G76010	AT1G76010	923	3999	3894	17501	1772	1949
AT1G76020	AT1G76020	326	974	102	464	258	259
AT1G76030	VHA-B1	1269	5437.997	3106	12630.004	2085	2054
AT1G76040	CPK29	76	220	43	179	131	152
AT1G76050	AT1G76050	208	704	151	652	308	294
AT1G76060	EMB1793	61	237	84	372	93	90
AT1G76062	MIR835A	0	0	0	0	0	0
AT1G76065	AT1G76065	39	69	36	106	28	30
AT1G76070	AT1G76070	37	122	6	55	45	50
AT1G76080	CDSP32	2341	9381	11586	49033	3093	3512
AT1G76090	SMT3	164	506	221	894	323	406
AT1G76100	PETE	1838	7288	2691	10928	2725	2912
AT1G76110	HMGB9	322	1113	179	761	404	425
AT1G76120	AT1G76120	89	213	43	189	124	117
AT1G76130	AMY2	118	858	172	854	310	313
AT1G76135	MIR394B	0	1	0	0	0	1
AT1G76140	AT1G76140	438.522	1988.577	308.155	1260.254	927.23	971.83
AT1G76150	ECH2	482.478	1090.423	431.845	1754.746	454.77	482.169
AT1G76160	sks5	801	3980	727	3314	1817	2010
AT1G76170	AT1G76170	57	161	85	267	76	69
AT1G76180	ERD14	4669	11446	1347	5969	3731	4022
AT1G76185	AT1G76185	31	154	9	75	53	54
AT1G76190	AT1G76190	11	19	3	16	6	8
AT1G76200	AT1G76200	868	2631	1217	5836	983	1115
AT1G76210	AT1G76210	1	0	0	0	0	0
AT1G76220	AT1G76220	1	0	0	1	0	0
AT1G76230	AT1G76230	0	0	0	1	0	0
AT1G76240	AT1G76240	67	294	11	70	100	98
AT1G76250	AT1G76250	2	14	9	41	7	9
AT1G76260	DWA2	73	205	70	252	111	101
AT1G76270	AT1G76270	101	390	26	89	187	191
AT1G76280	AT1G76280	112	414	178.001	747	215	227
AT1G76290	AEE21	0	0	0	0	0	0
AT1G76300	SMD3A	133	490	783	3705	276	314
AT1G76310	CYCB2-4	56	80	3	8	126	140
AT1G76320	FRS4	116	440	72	301	198	219
AT1G76330	AT1G76330	0	0	0	0	0	0
AT1G76340	GONST3	116	347	41	120	188	173
AT1G76350	NLP5	97	351	54	254	179	185
AT1G76360	AT1G76360	277	1303	52	181	411	422
AT1G76370	AT1G76370	0	0	1	2	0	0
AT1G76380	AT1G76380	58	184	27	116	108	106
AT1G76390	PUB43	113	448	154	707	225	204
AT1G76400	OST1A	294	1235	645	2573	662	677
AT1G76405	OEP21B	220	444	337	1474	244	257
